PERMNO,date,TICKER,RET,sprtrn
10107,20160129,MSFT,-0.007030,-0.050735
10107,20160229,MSFT,-0.069886,-0.004128
10107,20160331,MSFT,0.085495,0.065991
10107,20160429,MSFT,-0.097049,0.002699
10107,20160531,MSFT,0.069982,0.015329
10107,20160630,MSFT,-0.034528,0.000906
10107,20160729,MSFT,0.107680,0.035610
10107,20160831,MSFT,0.020113,-0.001219
10107,20160930,MSFT,0.002436,-0.001234
10107,20161031,MSFT,0.040278,-0.019426
10107,20161130,MSFT,0.012183,0.034174
10107,20161230,MSFT,0.031198,0.018201
10107,20170131,MSFT,0.040393,0.017884
10107,20170228,MSFT,-0.004331,0.037198
10107,20170331,MSFT,0.029384,-0.000389
10107,20170428,MSFT,0.039478,0.009091
10107,20170531,MSFT,0.025854,0.011576
10107,20170630,MSFT,-0.013030,0.004814
10107,20170731,MSFT,0.054693,0.019349
10107,20170831,MSFT,0.033838,0.000546
10107,20170929,MSFT,-0.003745,0.019303
10107,20171031,MSFT,0.116660,0.022188
10107,20171130,MSFT,0.016951,0.028083
10107,20171229,MSFT,0.016277,0.009832
10107,20180131,MSFT,0.110708,0.056179
10107,20180228,MSFT,-0.008631,-0.038947
10107,20180329,MSFT,-0.026661,-0.026885
10107,20180430,MSFT,0.024652,0.002719
10107,20180531,MSFT,0.061377,0.021608
10107,20180629,MSFT,-0.002327,0.004842
10107,20180731,MSFT,0.075753,0.036022
10107,20180831,MSFT,0.062877,0.030263
10107,20180928,MSFT,0.018161,0.004294
10107,20181031,MSFT,-0.066101,-0.069403
10107,20181130,MSFT,0.042505,0.017859
10107,20181231,MSFT,-0.084047,-0.091777
10107,20190131,MSFT,0.028158,0.078684
10107,20190228,MSFT,0.077181,0.029729
10107,20190329,MSFT,0.052754,0.017924
10107,20190430,MSFT,0.107343,0.039313
10107,20190531,MSFT,-0.049464,-0.065778
10107,20190628,MSFT,0.083118,0.068930
10107,20190731,MSFT,0.017244,0.013128
10107,20190830,MSFT,0.015044,-0.018092
10107,20190930,MSFT,0.008487,0.017181
10107,20191031,MSFT,0.031216,0.020432
10107,20191129,MSFT,0.059427,0.034047
10107,20191231,MSFT,0.041749,0.028590
10107,20200131,MSFT,0.079455,-0.001628
10107,20200228,MSFT,-0.045292,-0.084110
10107,20200331,MSFT,-0.026541,-0.125119
10107,20200430,MSFT,0.136326,0.126844
10107,20200529,MSFT,0.025389,0.045282
10107,20200630,MSFT,0.110559,0.018388
10107,20200731,MSFT,0.007371,0.055101
10107,20200831,MSFT,0.102580,0.070065
10107,20200930,MSFT,-0.067397,-0.039228
10107,20201030,MSFT,-0.037370,-0.027666
10107,20201130,MSFT,0.060058,0.107546
10107,20201231,MSFT,0.039006,0.037121
11850,20160129,XOM,-0.001283,-0.050735
11850,20160229,XOM,0.038921,-0.004128
11850,20160331,XOM,0.042919,0.065991
11850,20160429,XOM,0.057543,0.002699
11850,20160531,XOM,0.015498,0.015329
11850,20160630,XOM,0.053022,0.000906
11850,20160729,XOM,-0.051099,0.035610
11850,20160831,XOM,-0.011917,-0.001219
11850,20160930,XOM,0.001607,-0.001234
11850,20161031,XOM,-0.045371,-0.019426
11850,20161130,XOM,0.056769,0.034174
11850,20161230,XOM,0.033906,0.018201
11850,20170131,XOM,-0.070574,0.017884
11850,20170228,XOM,-0.021695,0.037198
11850,20170331,XOM,0.008485,-0.000389
11850,20170428,XOM,-0.004390,0.009091
11850,20170531,XOM,-0.004654,0.011576
11850,20170630,XOM,0.002857,0.004814
11850,20170731,XOM,-0.008547,0.019349
11850,20170831,XOM,-0.036732,0.000546
11850,20170929,XOM,0.074021,0.019303
11850,20171031,XOM,0.016711,0.022188
11850,20171130,XOM,0.008518,0.028083
11850,20171229,XOM,0.004202,0.009832
11850,20180131,XOM,0.043759,0.056179
11850,20180228,XOM,-0.123597,-0.038947
11850,20180329,XOM,-0.014919,-0.026885
11850,20180430,XOM,0.042086,0.002719
11850,20180531,XOM,0.055434,0.021608
11850,20180629,XOM,0.018341,0.004842
11850,20180731,XOM,-0.014747,0.036022
11850,20180831,XOM,-0.006380,0.030263
11850,20180928,XOM,0.060496,0.004294
11850,20181031,XOM,-0.062809,-0.069403
11850,20181130,XOM,0.008032,0.017859
11850,20181231,XOM,-0.142264,-0.091777
11850,20190131,XOM,0.074644,0.078684
11850,20190228,XOM,0.089656,0.029729
11850,20190329,XOM,0.022397,0.017924
11850,20190430,XOM,-0.006436,0.039313
11850,20190531,XOM,-0.107623,-0.065778
11850,20190628,XOM,0.082803,0.068930
11850,20190731,XOM,-0.029623,0.013128
11850,20190830,XOM,-0.067375,-0.018092
11850,20190930,XOM,0.031104,0.017181
11850,20191031,XOM,-0.043053,0.020432
11850,20191129,XOM,0.021163,0.034047
11850,20191231,XOM,0.024218,0.028590
11850,20200131,XOM,-0.109774,-0.001628
11850,20200228,XOM,-0.157920,-0.084110
11850,20200331,XOM,-0.261858,-0.125119
11850,20200430,XOM,0.223861,0.126844
11850,20200529,XOM,-0.002798,0.045282
11850,20200630,XOM,-0.016494,0.018388
11850,20200731,XOM,-0.059034,0.055101
11850,20200831,XOM,-0.030181,0.070065
11850,20200930,XOM,-0.140461,-0.039228
11850,20201030,XOM,-0.049811,-0.027666
11850,20201130,XOM,0.195586,0.107546
11850,20201231,XOM,0.081039,0.037121
